#http://www.insse.ro/cms/ro/content/anuarul-statistic-2011
Varsta TotalBoth TotalF UrbanBoth UrbanF RuralBoth RuralF
0 218938 106076 121061 58540 97877 47536
1 217983 105787 119200 57568 98783 48219
2 215258 104840 117373 57203 97885 47637
3 212442 103429 114735 55811 97707 47618
4 218028 105889 117901 57170 100127 48719
5 214793 104521 112843 54804 101950 49717
6 209387 101586 104845 50946 104542 50640
7 207042 100918 100749 49166 106293 51752
8 207241 100255 98303 47556 108938 52699
9 213408 103941 98990 48159 114418 55782
10 222772 108391 102102 49671 120670 58720
11 222516 108750 101366 49562 121150 59188
12 223207 108617 102472 50007 120735 58610
13 215047 105064 100139 48840 114908 56224
14 223233 108753 104382 50800 118851 57953
15 222079 108271 104413 51635 117666 56636
16 236418 115389 113555 55777 122863 59612
17 237288 116106 116462 57130 120826 58976
18 256295 125310 132509 65043 123786 60267
19 255135 124335 140683 69827 114452 54508
20 339689 166763 194088 97095 145601 69668
21 338059 166451 196958 98501 141101 67950
22 349643 171189 205137 102424 144506 68765
23 365991 179767 210653 105933 155338 73834
24 328327 160251 196293 98107 132034 62144
25 339637 165680 204755 102206 134882 63474
26 306584 149024 184342 92091 122242 56933
27 296734 144316 179559 89679 117175 54637
28 323416 159070 198089 99835 125327 59235
29 344893 168663 210696 105782 134197 62881
30 354795 172337 214426 107022 140369 65315
31 356559 173460 213051 106483 143508 66977
32 355544 173353 210202 105116 145342 68237
33 356946 173799 210265 104915 146681 68884
34 349317 169833 201144 100327 148173 69506
35 354197 172910 201493 100967 152704 71943
36 331242 161796 185853 93833 145389 67963
37 315813 154704 172084 87385 143729 67319
38 326257 160594 180246 92514 146011 68080
39 335945 165931 187648 97144 148297 68787
40 365373 180916 207917 108489 157456 72427
41 396132 195547 232705 121130 163427 74417
42 492871 245721 302075 159258 190796 86463
43 260106 128849 150836 79686 109270 49163
44 224409 111649 131443 69726 92966 41923
45 232996 116851 138488 74402 94508 42449
46 235466 118052 142440 76193 93026 41859
47 234951 118694 143781 77456 91170 41238
48 246765 124769 151147 81581 95618 43188
49 262759 133214 162288 87698 100471 45516
50 271635 138252 168542 90637 103093 47615
51 285261 146249 177682 95772 107579 50477
52 301202 155668 190579 103275 110623 52393
53 305257 158420 194468 104351 110789 54069
54 310396 161694 197526 105714 112870 55980
55 322646 168742 204378 108761 118268 59981
56 278082 146306 174675 92992 103407 53314
57 285466 150601 175488 92894 109978 57707
58 274103 144982 164517 86752 109586 58230
59 274837 146568 161010 85307 113827 61261
60 281414 150939 160662 85677 120752 65262
61 265017 142864 147139 78578 117878 64286
62 212557 114395 115225 61717 97332 52678
63 207147 112234 107254 57988 99893 54246
64 191478 104904 96389 52634 95089 52270
65 175816 97568 86744 48482 89072 49086
66 183612 102548 88696 49786 94916 52762
67 172349 96550 82864 46554 89485 49996
68 179664 102096 85371 48525 94293 53571
69 166271 94893 77331 44246 88940 50647
70 198504 115034 90085 52133 108419 62901
71 191645 112560 87379 51675 104266 60885
72 187202 110398 84071 49919 103131 60479
73 182107 108171 79747 47885 102360 60286
74 173454 103132 74488 44732 98966 58400
75 158823 95235 67119 40508 91704 54727
76 148500 89634 62864 38832 85636 50802
77 142556 86390 59575 36924 82981 49466
78 135816 82631 56311 34987 79505 47644
79 122727 75747 51626 32420 71101 43327
80 111974 69221 47076 29785 64898 39436
81 98797 61593 41162 26136 57635 35457
82 88335 55367 37227 23771 51108 31596
83 76167 48362 31468 20397 44699 27965
84 65902 42031 27504 17909 38398 24122
85 234653 154795 100308 69183 134345 85612
